Date;Yale;Stanford;Harvard;Average Endowment (NACUBO)
30.06.2024;5.70%;8.40%;9.60%;
30.06.2023;1.80%;4.40%;2.90%;7.70%
30.06.2022;0.80%;-4.20%;-1.80%;-8.00%
30.06.2021;40.20%;40.10%;33.60%;30.60%
30.06.2020;6.80%;5.60%;7.30%;1.80%
30.06.2019;5.70%;6.50%;6.50%;5.30%
30.06.2018;12.30%;11.30%;10.00%;8.20%
30.06.2017;11.30%;13.10%;8.10%;12.20%
30.06.2016;3.40%;-0.40%;-2%;-1.90%
30.06.2015;11.50%;7%;5.80%;2.40%
30.06.2014;20.20%;16.80%;15.40%;15.50%
30.06.2013;12.50%;12.20%;11.30%;11.70%
30.06.2012;4.70%;1.00%;-0.05%;-0.30%
30.06.2011;21.90%;22.40%;21.40%;19.20%
30.06.2010;8.90%;14.40%;11.00%;11.90%
30.06.2009;-24.60%;-25.90%;-27.30%;-18.70%
30.06.2008;4.50%;6.20%;8.60%;-3.00%
30.06.2007;28%;23.40%;23.00%;17.20%
30.06.2006;22.90%;19.50%;16.70%;10.70%
30.06.2005;22.30%;19.50%;19.20%;9.30%
30.06.2004;19.40%;18.00%;21.10%;15.10%
30.06.2003;8.80%;8.80%;12.50%;3.00%
30.06.2002;0.70%;-2.60%;-0.50%;-6.00%
30.06.2001;9.20%;-7.30%;-2.70%;-3.60%
30.06.2000;;39.80%;32.20%;13.00%
